name,quadrant,ring,isNew,description
Pipelines for infrastructure as code,Techniques,Adopt,TRUE,""
Testing using real device,Techniques,Adopt,TRUE,""
Azure DevOps,Platforms,Assess,TRUE,""
Azure Pipelines,Platforms,Assess,TRUE,""
Dotnet Core,languages-and-frameworks,Adopt,TRUE,""
C#,languages-and-frameworks,Adopt,TRUE,""
Python3,languages-and-frameworks,Adopt,TRUE,""
F#,languages-and-frameworks,Assess,TRUE,""
GraphQL,languages-and-frameworks,Assess,FALSE,""
Gatsby.js,languages-and-frameworks,Assess,TRUE,""
Tensorflow,languages-and-frameworks,Trial,TRUE,""
ABC,languages-and-frameworks,MySector,TRUE,""
XYZ,my-test-quadrant,Trial,TRUE,""
